company,metric,year,value
Marico,COGS,FY19,4017.0
Marico,COGS,FY20,3745.0
Marico,COGS,FY21,4270.0
Marico,COGS,FY22,5436.0
Marico,COGS,FY23,5351.0
Marico,COGS,FY24,4748.0
Marico,COGS,FY25,5388.0
Marico,GP,FY19,3317.0
Marico,GP,FY20,3570.0
Marico,GP,FY21,3778.0
Marico,GP,FY22,4076.0
Marico,GP,FY23,4413.0
Marico,GP,FY24,4905.0
Marico,GP,FY25,5443.0
Marico,EBITDA,FY19,1280.0
Marico,EBITDA,FY20,1469.0
Marico,EBITDA,FY21,1589.0
Marico,EBITDA,FY22,1681.0
Marico,EBITDA,FY23,1810.0
Marico,EBITDA,FY24,2026.0
Marico,EBITDA,FY25,2139.0
Marico,EBIT,FY19,1184.0
Marico,EBIT,FY20,1329.0
Marico,EBIT,FY21,1450.0
Marico,EBIT,FY22,1542.0
Marico,EBIT,FY23,1655.0
Marico,EBIT,FY24,1868.0
Marico,EBIT,FY25,1961.0
Marico,CE,FY19,3056.0
Marico,CE,FY20,3217.0
Marico,CE,FY21,3497.0
Marico,CE,FY22,3633.0
Marico,CE,FY23,4517.0
Marico,CE,FY24,4977.0
Marico,CE,FY25,5877.0
Marico,GM,FY19,0.45227706572129805
Marico,GM,FY20,0.4880382775119617
Marico,GM,FY21,0.46943339960238567
Marico,GM,FY22,0.42851135407905805
Marico,GM,FY23,0.4519664072101598
Marico,GM,FY24,0.5081321868849062
Marico,GM,FY25,0.5025390084018097
Marico,EM,FY19,0.1745295882192528
Marico,EM,FY20,0.20082023239917976
Marico,EM,FY21,0.1974403578528827
Marico,EM,FY22,0.17672413793103448
Marico,EM,FY23,0.1853748463744367
Marico,EM,FY24,0.2098829379467523
Marico,EM,FY25,0.19748868987166468
Marico,NM,FY19,0.1524406872102536
Marico,NM,FY20,0.1395762132604238
Marico,NM,FY21,0.1456262425447316
Marico,NM,FY22,0.12878469301934398
Marico,NM,FY23,0.13334698893895944
Marico,NM,FY24,0.15342380607065162
Marico,NM,FY25,0.15040162496537715
Marico,DIO,FY20,136.01001335113486
Marico,DIO,FY21,107.10655737704919
Marico,DIO,FY22,85.20695364238411
Marico,DIO,FY23,89.9369276770697
Marico,DIO,FY24,98.43776326874475
Marico,DIO,FY25,87.08379732739421
Marico,DSO,FY20,26.345864661654137
Marico,DSO,FY21,21.021061133200796
Marico,DSO,FY22,19.953742640874683
Marico,DSO,FY23,31.158080704629253
Marico,DSO,FY24,39.400186470527295
Marico,DSO,FY25,39.42849229064722
Marico,DPO,FY20,93.66221628838453
Marico,DPO,FY21,90.26697892271663
Marico,DPO,FY22,83.19260485651215
Marico,DPO,FY23,95.35974584189871
Marico,DPO,FY24,116.58013900589721
Marico,DPO,FY25,99.71789161098738
Marico,CCC,FY20,68.69366172440446
Marico,CCC,FY21,37.860639587533356
Marico,CCC,FY22,21.96809142674664
Marico,CCC,FY23,25.735262539800246
Marico,CCC,FY24,21.257810733374825
Marico,CCC,FY25,26.794398007054042
Marico,ROCE,FY20,0.42372070779531323
Marico,ROCE,FY21,0.43193327375633006
Marico,ROCE,FY22,0.43253856942496494
Marico,ROCE,FY23,0.40613496932515336
Marico,ROCE,FY24,0.3935116915946914
Marico,ROCE,FY25,0.361341440943431
Marico,ROA,FY20,0.2095648604269294
Marico,ROA,FY21,0.22298325722983256
Marico,ROA,FY22,0.21689093484419264
Marico,ROA,FY23,0.20452403393025448
Marico,ROA,FY24,0.20616691028050393
Marico,ROA,FY25,0.2067390062821245
Marico,RG,FY20,-0.0025906735751295338
Marico,RG,FY21,0.10020505809979494
Marico,RG,FY22,0.18190854870775347
Marico,RG,FY23,0.026492851135407905
Marico,RG,FY24,-0.011368291683736174
Marico,RG,FY25,0.12203460064228737
Marico,raw_rev,FY19,7334.0
Marico,raw_rev,FY20,7315.0
Marico,raw_rev,FY21,8048.0
Marico,raw_rev,FY22,9512.0
Marico,raw_rev,FY23,9764.0
Marico,raw_rev,FY24,9653.0
Marico,raw_rev,FY25,10831.0
Marico,raw_oi,FY19,103.0
Marico,raw_oi,FY20,124.0
Marico,raw_oi,FY21,94.0
Marico,raw_oi,FY22,98.0
Marico,raw_oi,FY23,144.0
Marico,raw_oi,FY24,142.0
Marico,raw_oi,FY25,208.0
Marico,raw_com,FY19,3995.0
Marico,raw_com,FY20,3428.0
Marico,raw_com,FY21,3884.0
